id_evento,fecha_evento,decline_code,decline_tipo,red,acquirer,bin,card_type,monto_ars,attempt_number,tokenized,card_expiry_delta_dias,user_id,archetype_id,employment_type,digital_literacy,tenure_meses,prior_recoveries,engagement_recency_dias,arpu_ars,day_of_month,days_to_quincena,days_to_fin_de_mes,is_aguinaldo_month,anses_pay_flag,indec_ipc_mom,bcra_rate,billetera_yield_proxy,action_window,action_channel,action_tone,recovered,recovery_day_offset,contexto_cliente
EVT0000000,2025-07-30,65,soft,Visa,Payway,467777,credito,5300.0,8,False,525,USR0000218,taxista_remis,autonomo,media,16,0,1,5400.0,30,16,1,0,0,0.0306,0.6203,0.5321,fin_de_mes,whatsapp,formal,1,3,Conductor de app / taxista / remisero (ingreso_diario_efectivo)
EVT0000001,2025-12-07,05,soft,Mastercard,Payway,543930,credito,11500.0,1,False,448,USR0000341,empleado_privado_formal,empleado_privado,alta,47,5,5,11600.0,7,8,24,1,1,0.0581,0.5679,0.4259,inmediata,push,empatico,1,2,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000002,2026-02-09,05,soft,Mastercard,Fiserv,545655,credito,8000.0,2,True,261,USR0000200,empleado_comercio,empleado_privado,media,24,0,0,8900.0,9,4,18,0,1,0.0525,0.5614,0.4859,inmediata,llamada,formal,1,2,Empleado de comercio (CCT comercio) (ingreso_estable_fin_de_mes)
EVT0000003,2025-07-08,05,soft,Visa,Payway,491464,credito,10800.0,2,True,35,USR0000011,empleado_privado_formal,empleado_privado,alta,45,7,7,10600.0,8,7,23,0,1,0.0307,0.5229,0.4256,inmediata,whatsapp,cercano,0,-1,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000004,2026-03-16,05,soft,Mastercard,Payway,560747,credito,8400.0,1,True,172,USR0000264,joven_profesional,empleado_privado,alta,1,0,7,9000.0,16,30,15,0,0,0.0243,0.6008,0.424,post_quincena,sms,cercano,0,-1,Joven profesional (primer empleo) (ingreso_estable_bajo_quincena)
EVT0000005,2026-05-16,51,soft,Visa,Geopagos,484203,credito,3400.0,1,False,289,USR0000577,trabajador_informal,informal,media,5,0,2,3300.0,16,30,13,0,0,0.0597,0.5101,0.3864,quincena,whatsapp,cercano,0,-1,Trabajador informal / changas (ingreso_diario_efectivo)
EVT0000006,2025-10-17,51,soft,Visa,Other,411502,credito,3900.0,7,False,357,USR0000091,pensionado_no_contributivo,jubilado,baja,45,3,1,3700.0,17,28,14,0,0,0.068,0.5647,0.5275,anses,llamada,urgente_suave,0,-1,Pensionado no contributivo (ingreso_fijo_anses)
EVT0000007,2026-06-06,51,soft,Naranja,Payway,574190,credito,23400.0,1,True,131,USR0000358,empresario_pyme,autonomo,media,61,4,6,22600.0,6,9,24,1,1,0.0523,0.5113,0.3964,fin_de_mes,sms,empatico,1,24,Empresario / dueño de PyME (ingreso_alto_variable)
EVT0000008,2026-01-06,51,soft,Visa,Payway,415197,credito,9100.0,1,False,169,USR0000596,profesional_salud,empleado_privado,alta,21,0,39,10100.0,6,9,24,0,1,0.0291,0.5076,0.4028,fin_de_mes,llamada,cercano,1,26,Profesional de la salud (enfermero / técnico) (ingreso_estable_con_guardias)
EVT0000009,2026-03-12,51,soft,Mastercard,Other,518339,debito,24000.0,1,True,252,USR0000533,profesional_independiente,autonomo,alta,8,0,0,25100.0,12,1,19,0,1,0.0521,0.631,0.5038,fin_de_mes,email,urgente_suave,1,21,"Profesional independiente (abogado, contador, etc.) (ingreso_alto_irregular)"
EVT0000010,2025-09-19,51,soft,Visa,Payway,495810,credito,7400.0,6,False,77,USR0000202,empleado_publico,empleado_publico,media,64,5,3,8100.0,19,26,11,0,0,0.0671,0.3447,0.2744,quincena,whatsapp,cercano,1,26,Empleado público (ingreso_estable_fin_de_mes)
EVT0000011,2025-11-03,51,soft,Mastercard,Payway,579698,debito,4300.0,3,False,240,USR0000561,estudiante,informal,alta,3,0,9,4000.0,3,11,25,0,1,0.0598,0.4557,0.3982,post_fecha_resumen,whatsapp,cercano,1,8,Estudiante universitario (ingreso_irregular_changas)
EVT0000012,2025-11-16,91,soft,Cabal,Fiserv,659902,debito,5900.0,1,True,421,USR0000279,empleado_comercio,empleado_privado,media,15,1,45,5700.0,16,29,12,0,0,0.0692,0.3849,0.3591,inmediata,whatsapp,cercano,0,-1,Empleado de comercio (CCT comercio) (ingreso_estable_fin_de_mes)
EVT0000013,2026-03-09,51,soft,Mastercard,Payway,587353,debito,8500.0,2,True,596,USR0000073,taxista_remis,autonomo,media,9,2,13,7900.0,9,4,22,0,1,0.0649,0.6185,0.5801,quincena,sms,cercano,0,-1,Conductor de app / taxista / remisero (ingreso_diario_efectivo)
